,0
0,74.2
1,74.4
2,74.4
3,74.4
4,74.6
5,74.7
6,74.9
7,75.1
8,75.1
9,75.3
10,75.3
11,75.4
12,75.6
13,75.8
14,75.8
15,76.0
16,76.0
17,76.0
18,76.1
19,76.1
20,76.3
21,76.5
22,76.5
23,76.5
24,76.7
25,76.7
26,76.7
27,76.8
28,76.8
29,76.8
30,76.8
31,76.8
32,77.0
33,77.0
34,77.0
35,77.0
36,77.0
37,77.2
38,77.2
39,77.2
40,77.2
41,77.2
42,77.3
43,77.3
44,77.3
45,77.3
46,77.3
47,77.3
48,77.3
49,77.3
50,77.5
51,77.5
52,77.5
53,77.5
54,77.5
55,77.5
56,77.0
57,76.5
58,76.1
59,75.6
60,75.3
61,75.1
62,74.7
63,74.4
64,74.2
65,74.1
66,73.9
67,73.7
68,73.5
69,73.5
70,73.5
71,73.7
72,73.7
73,73.5
74,73.7
75,73.9
76,74.2
77,74.6
78,74.7
79,75.1
80,75.1
81,75.3
82,75.4
83,75.6
84,75.8
85,75.8
86,76.0
87,76.0
88,76.1
89,76.1
90,76.3
91,76.5
92,76.5
93,76.5
94,76.7
95,76.7
96,76.7
97,76.8
98,76.8
99,76.8
100,76.8
101,77.0
102,77.0
103,77.0
104,77.0
105,77.0
106,77.2
107,77.2
108,77.2
109,77.2
110,77.3
111,77.3
112,77.3
113,77.3
114,77.3
115,77.3
116,77.3
117,77.5
118,77.5
119,77.5
120,77.5
121,77.5
122,77.5
123,77.5
124,77.5
125,77.5
126,77.7
127,77.7
128,77.7
129,77.7
130,77.7
131,77.7
132,77.7
133,77.7
134,77.7
135,77.7
136,77.7
137,77.9
138,77.9
139,77.9
140,77.9
141,77.9
142,77.9
143,77.9
144,77.9
145,77.9
146,77.9
147,77.9
148,77.9
149,77.9
150,77.9
151,77.9
152,77.9
153,77.9
154,77.9
155,77.9
156,77.9
157,77.9
158,77.9
159,77.9
160,77.9
161,78.1
162,78.1
163,77.9
164,77.9
165,77.9
166,77.9
167,77.9
168,78.1
169,78.1
170,78.1
171,78.1
172,78.1
173,78.1
174,78.1
175,78.2
176,78.2
177,78.2
178,78.2
179,78.4
180,78.4
181,78.6
182,78.6
183,78.6
184,78.8
185,78.8
186,78.8
187,78.8
188,78.9
189,78.9
190,78.9
191,78.9
192,79.1
193,79.1
194,79.1
195,79.1
196,79.3
197,79.3
198,79.3
199,79.3
200,79.3
201,79.5
202,79.5
203,79.5
204,79.5
205,79.5
206,79.5
207,79.5
208,79.5
209,79.5
210,79.5
211,79.5
212,79.5
213,79.6
214,79.6
215,79.6
216,79.6
217,79.6
218,79.6
219,79.6
220,79.6
221,79.6
222,79.6
223,79.6
224,79.8
225,79.8
226,79.8
227,79.8
228,79.8
229,79.8
230,79.8
231,79.8
232,79.8
233,80.0
234,80.0
235,80.0
236,80.0
237,80.0
238,80.0
239,80.0
240,80.0
241,80.0
242,80.2
243,80.2
244,80.2
245,80.2
246,80.2
247,80.0
248,80.0
249,80.0
250,80.0
251,80.0
252,80.0
253,80.0
254,80.0
255,80.0
256,80.0
257,80.0
258,80.0
259,80.0
260,80.2
261,80.2
262,80.2
263,80.2
264,80.2
265,80.2
266,80.3
267,80.3
268,80.3
269,80.3
270,80.5
271,80.5
272,80.3
273,79.8
274,79.3
275,78.9
276,78.8
277,78.6
278,78.2
279,78.1
280,77.9
281,77.9
282,77.7
283,77.7
284,77.5
285,77.3
286,77.3
287,77.3
288,78.1
289,78.2
290,78.4
291,78.6
292,78.8
293,78.9
294,79.1
295,79.3
296,79.3
297,79.5
298,79.6
299,79.6
300,79.6
301,79.8
302,79.8
303,80.0
304,80.0
305,80.0
306,80.2
307,80.2
308,80.2
309,80.3
310,80.3
311,80.3
312,80.3
313,80.5
314,80.5
315,80.5
316,80.7
317,80.7
318,80.7
319,80.7
320,80.9
321,80.9
322,80.9
323,80.9
324,81.1
325,81.1
326,81.1
327,81.1
328,81.2
329,81.2
330,81.2
331,81.4
332,81.4
333,81.4
334,81.1
335,80.0
336,79.3
337,78.8
338,78.2
339,77.9
340,77.7
341,77.3
342,77.2
343,77.0
344,76.7
345,76.3
346,76.1
347,76.0
348,75.8
349,75.6
350,75.6
351,75.4
352,75.4
353,75.3
354,75.3
355,75.1
356,74.9
357,74.9
358,75.3
359,75.4
360,75.6
361,75.6
362,75.8
363,75.8
364,75.8
365,75.8
366,75.4
367,75.4
368,75.3
369,75.1
370,74.7
371,74.7
372,74.6
373,74.4
374,74.4
375,74.6
376,74.7
377,74.9
378,75.1
379,75.1
380,75.1
381,75.1
382,75.1
383,75.1
384,75.1
385,75.3
386,75.1
387,75.1
388,75.6
389,75.8
390,76.0
391,76.1
392,76.3
393,76.3
394,76.3
395,76.5
396,76.7
397,76.7
398,76.7
399,76.8
400,76.8
401,77.0
402,77.0
403,77.0
404,77.0
405,77.3
406,77.3
407,77.3
408,77.5
409,77.7
410,77.7
411,77.9
412,77.9
413,78.1
414,78.1
415,78.2
416,78.2
417,78.4
418,78.4
419,78.4
420,78.6
421,78.6
422,78.6
423,78.6
424,78.8
425,78.8
426,78.8
427,78.8
428,78.8
429,78.9
430,78.9
431,78.9
432,78.9
433,78.9
434,78.1
435,77.2
436,76.5
437,76.1
438,75.8
439,75.6
440,75.4
441,75.1
442,74.9
443,74.7
444,74.6
445,74.4
446,74.2
447,74.2
448,74.1
449,74.1
450,74.1
451,73.9
452,73.7
453,73.7
454,74.2
455,74.6
456,74.6
457,74.7
458,74.7
459,74.7
460,74.6
461,74.2
462,73.9
463,73.9
464,73.7
465,73.7
466,73.7
467,73.7
468,73.9
469,73.9
470,73.9
471,73.9
472,74.2
473,74.4
474,74.4
475,74.4
476,74.4
477,74.2
478,74.4
479,74.2
480,74.2
481,74.2
482,74.1
483,74.1
484,74.6
485,74.7
486,74.9
487,75.1
488,75.3
489,75.3
490,75.3
491,75.4
492,75.6
493,75.8
494,76.0
495,76.0
496,76.1
497,76.1
498,76.3
499,76.3
500,76.3
501,76.5
502,76.5
503,76.5
504,76.5
505,76.5
506,76.5
507,76.5
508,76.5
509,76.5
510,76.5
511,76.5
512,76.5
513,76.5
514,76.5
515,76.5
516,76.5
517,76.5
518,76.5
519,76.5
520,76.5
521,76.5
522,76.5
523,76.5
524,76.5
525,76.5
526,76.5
527,76.5
528,76.5
529,76.5
530,76.3
531,75.8
532,74.9
533,74.4
534,74.2
535,73.9
536,73.7
537,73.9
538,73.9
539,73.7
540,73.7
541,73.7
542,73.7
543,73.7
544,73.7
545,73.5
546,73.7
547,73.7
548,73.5
549,73.7
550,74.1
551,74.1
552,74.2
553,74.2
554,74.2
555,74.2
556,74.2
557,74.2
558,73.9
559,73.9
560,73.7
561,73.9
562,74.2
563,74.2
564,74.4
565,74.6
566,74.4
567,74.6
568,74.6
569,74.7
570,74.7
571,74.6
572,74.6
573,74.6
574,74.4
575,74.4
576,74.2
577,74.1
578,74.1
579,74.2
580,74.7
581,74.9
582,75.1
583,75.3
584,75.3
585,75.4
586,75.4
587,75.6
588,75.8
589,76.0
590,76.1
591,76.1
592,76.1
593,76.3
594,76.5
595,76.7
596,76.7
597,76.8
598,76.8
599,76.8
600,76.8
601,77.0
602,77.0
603,77.0
604,77.2
605,77.2
606,77.3
607,77.3
608,77.3
609,77.3
610,77.3
611,77.3
612,77.3
613,77.5
614,77.5
615,77.5
616,77.5
617,77.5
618,77.5
619,77.5
620,77.5
621,77.7
622,77.7
623,77.7
624,77.7
625,77.5
626,77.0
627,76.5
628,75.6
629,75.1
630,74.7
631,74.4
632,74.2
633,74.1
634,74.1
635,73.9
636,74.2
637,74.4
638,74.2
639,74.2
640,73.9
641,73.7
642,73.9
643,73.9
644,73.96666666666667
645,74.03333333333333
646,74.1
647,74.2
648,74.4
649,74.4
650,74.4
651,74.4
652,74.4
653,74.2
654,74.1
655,73.9
656,73.9
657,73.9
658,73.9
659,73.9
660,74.1
661,74.1
662,74.1
663,74.1
664,74.4
665,74.6
666,74.6
667,74.4
668,74.4
669,74.4
670,74.2
671,74.2
672,74.2
673,74.2
674,74.2
675,74.2
676,74.7
677,74.9
678,75.1
679,75.3
680,75.3
681,75.3
682,75.4
683,75.6
684,75.8
685,75.8
686,76.0
687,76.1
688,76.3
689,76.3
690,76.5
691,76.7
692,76.7
693,76.8
694,76.8
695,76.8
696,77.0
697,77.0
698,77.2
699,77.2
700,77.3
701,77.3
702,77.3
703,77.3
704,77.3
705,77.5
706,77.5
707,77.5
708,77.7
709,77.7
710,77.7
711,77.7
712,77.7
713,77.7
714,77.7
715,77.9
716,77.9
717,77.9
718,77.9
719,77.9
720,77.9
721,77.9
722,77.9
723,78.1
724,78.1
725,78.1
726,78.1
727,78.1
728,77.5
729,76.8
730,76.5
731,76.5
732,76.0
733,75.8
734,75.6
735,75.6
736,75.4
737,75.1
738,74.9
739,74.7
740,74.6
741,74.6
742,74.4
743,74.4
744,74.2
745,74.1
746,74.1
747,74.1
748,74.7
749,75.1
750,75.4
751,75.6
752,75.8
753,76.0
754,76.1
755,76.3
756,76.3
757,76.5
758,76.7
759,76.8
760,76.8
761,77.0
762,77.2
763,77.3
764,77.3
765,77.5
766,77.5
767,77.5
768,77.7
769,77.7
770,77.9
771,77.9
772,77.9
773,78.1
